                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7658,                 1.5768,                 1.0564,                0.78257,                0.35061,                0.39514,                0.22185,                 1.6489,                 1.5823,                 1.0398,               0.070025,              0.0033305,              0.0033305
                      1,                 1.6215,                 1.2481,                 1.0155,                0.73693,                0.41077,                0.45086,                  0.277,                 1.4972,                 1.1866,                 1.0096,               0.039893,              0.0065319,              0.0065319
                      2,                 1.5045,                 1.1116,                0.98139,                0.74105,                0.47313,                0.52444,                0.32866,                 1.3344,                0.93378,                0.95259,              0.0096293,              0.0096013,              0.0096013
                      3,                 1.4058,                 1.0099,                0.95538,                0.68188,                0.49011,                0.53466,                0.33966,                 1.2834,                0.88129,                0.94279,               0.009406,               0.009406,               0.009406
                      4,                 1.3436,                0.94472,                0.94129,                0.76184,                0.49986,                0.56028,                0.35824,                 1.2457,                0.85304,                0.92492,               0.009406,               0.009406,               0.009406
                      5,                 1.2885,                 0.8913,                0.92619,                0.72431,                0.55898,                0.58744,                0.38436,                  1.179,                0.80745,                0.91453,               0.009208,               0.009208,               0.009208
                      6,                 1.2491,                0.85216,                0.91476,                0.74382,                0.57329,                0.61481,                0.40874,                 1.1646,                0.75095,                0.90301,                0.00901,                0.00901,                0.00901
                      7,                 1.2281,                0.83194,                0.91101,                0.78228,                0.56756,                0.61583,                0.41112,                 1.1118,                0.72066,                 0.8981,               0.008812,               0.008812,               0.008812
                      8,                  1.203,                0.80913,                0.90675,                0.78032,                0.56795,                0.61792,                0.41612,                 1.1076,                0.70977,                0.89291,               0.008614,               0.008614,               0.008614
                      9,                 1.1697,                0.78293,                0.89926,                0.76437,                0.59019,                0.63107,                0.43165,                 1.0698,                0.67559,                0.88922,               0.008416,               0.008416,               0.008416
                     10,                 1.1505,                0.76497,                0.89467,                 0.7881,                0.58651,                0.63953,                0.43691,                 1.0596,                0.66486,                0.88401,               0.008218,               0.008218,               0.008218
                     11,                 1.1317,                0.74589,                0.88923,                0.81335,                 0.6062,                0.65283,                0.45073,                 1.0221,                0.63392,                0.87562,                0.00802,                0.00802,                0.00802
                     12,                 1.1143,                0.73323,                0.88714,                0.80294,                0.59766,                0.65197,                0.45183,                 1.0032,                0.62703,                0.87575,               0.007822,               0.007822,               0.007822
                     13,                 1.1012,                0.72009,                0.88319,                0.82503,                0.59728,                0.66057,                0.45842,                  1.009,                0.61948,                0.87266,               0.007624,               0.007624,               0.007624
                     14,                 1.0705,                0.69165,                0.87523,                0.82949,                  0.608,                0.66589,                0.46422,                0.98457,                0.60857,                0.87013,               0.007426,               0.007426,               0.007426
                     15,                 1.0586,                0.68225,                0.87385,                0.81116,                0.61634,                0.67026,                0.46754,                  0.976,                0.59457,                0.87109,               0.007228,               0.007228,               0.007228
                     16,                 1.0537,                0.67816,                0.87289,                0.82264,                0.62321,                0.68116,                0.47133,                0.96834,                0.58794,                0.86733,                0.00703,                0.00703,                0.00703
                     17,                 1.0622,                0.68685,                0.87605,                0.83182,                0.61651,                0.67863,                0.47418,                  0.963,                0.58632,                0.86544,               0.006832,               0.006832,               0.006832
                     18,                 1.0473,                0.67311,                0.87383,                0.82398,                0.62047,                0.68406,                0.47781,                0.95691,                0.57896,                0.86553,               0.006634,               0.006634,               0.006634
                     19,                 1.0356,                0.66353,                0.87026,                0.84013,                0.62386,                 0.6848,                0.48494,                0.94493,                0.56429,                0.86328,               0.006436,               0.006436,               0.006436
                     20,                 1.0307,                0.65629,                0.86832,                0.82729,                0.62698,                0.68735,                0.48836,                0.93775,                0.55944,                0.86292,               0.006238,               0.006238,               0.006238
                     21,                 1.0196,                0.64999,                0.86703,                0.84639,                0.62727,                0.69237,                0.49306,                0.92808,                0.55739,                0.85889,                0.00604,                0.00604,                0.00604
                     22,                 0.9887,                0.62362,                 0.8592,                0.82702,                0.63353,                0.69072,                0.49241,                0.91778,                0.54862,                0.85684,               0.005842,               0.005842,               0.005842
                     23,                0.98476,                0.62106,                0.85983,                 0.8552,                0.62394,                0.69424,                0.49605,                0.91191,                 0.5429,                0.85591,               0.005644,               0.005644,               0.005644
                     24,                0.97933,                0.61553,                0.85866,                 0.8415,                0.63584,                0.69785,                0.49896,                0.91248,                0.53898,                 0.8575,               0.005446,               0.005446,               0.005446
                     25,                0.94711,                0.59293,                0.85099,                0.84776,                 0.6307,                0.69468,                  0.496,                0.90096,                0.53092,                 0.8544,               0.005248,               0.005248,               0.005248
                     26,                0.94413,                  0.589,                0.85137,                0.84271,                0.63299,                0.69644,                0.50036,                0.89965,                0.52738,                0.85393,                0.00505,                0.00505,                0.00505
                     27,                0.94206,                0.58926,                0.85155,                 0.8611,                0.63665,                0.70349,                0.50491,                0.89837,                0.52754,                0.85471,               0.004852,               0.004852,               0.004852
                     28,                0.96534,                0.60727,                0.85697,                0.84818,                0.63846,                0.70314,                0.50376,                0.89003,                0.52845,                 0.8528,               0.004654,               0.004654,               0.004654
                     29,                0.95115,                0.59481,                 0.8549,                0.84865,                0.64354,                0.70563,                0.51025,                0.88787,                0.52164,                0.85207,               0.004456,               0.004456,               0.004456
                     30,                0.94552,                0.59016,                0.85304,                0.84671,                0.63873,                0.70432,                0.50853,                0.88487,                0.51927,                0.85176,               0.004258,               0.004258,               0.004258
                     31,                 0.9392,                0.58271,                0.85077,                0.83214,                0.64444,                0.70544,                0.50936,                0.88256,                0.51733,                0.85053,                0.00406,                0.00406,                0.00406
                     32,                0.93386,                0.58021,                0.85117,                0.85141,                0.64358,                0.70866,                0.51344,                0.87927,                0.51366,                0.84971,               0.003862,               0.003862,               0.003862
                     33,                0.93879,                0.58382,                0.85296,                0.86886,                0.63736,                0.71102,                0.51586,                0.87621,                0.51197,                0.85007,               0.003664,               0.003664,               0.003664
                     34,                0.92381,                0.57424,                0.85046,                0.86011,                0.64353,                 0.7127,                0.51734,                0.87215,                0.50899,                0.84919,               0.003466,               0.003466,               0.003466
                     35,                 0.9167,                0.56899,                0.84798,                0.85174,                0.64738,                0.71342,                 0.5205,                0.86833,                0.50589,                0.84895,               0.003268,               0.003268,               0.003268
                     36,                0.91449,                0.56663,                0.84774,                0.84645,                0.64882,                 0.7128,                0.51948,                 0.8675,                0.50605,                0.84871,                0.00307,                0.00307,                0.00307
                     37,                0.90938,                 0.5628,                0.84823,                0.84587,                0.65003,                0.71324,                0.52142,                0.86324,                 0.5027,                0.84779,               0.002872,               0.002872,               0.002872
                     38,                0.90302,                0.55884,                0.84634,                0.84609,                0.64884,                  0.714,                0.52223,                0.85994,                0.50141,                0.84725,               0.002674,               0.002674,               0.002674
                     39,                0.86682,                0.53108,                0.83815,                0.85061,                0.64835,                0.71583,                0.52207,                0.85954,                0.50068,                0.84741,               0.002476,               0.002476,               0.002476
                     40,                0.88437,                 0.5428,                0.84053,                0.84963,                0.64712,                0.71325,                0.52289,                0.86104,                0.50129,                0.84732,               0.002278,               0.002278,               0.002278
                     41,                0.86878,                0.53123,                0.83716,                0.85358,                0.64857,                0.71498,                0.52406,                0.86155,                 0.5011,                0.84787,                0.00208,                0.00208,                0.00208
                     42,                 0.8583,                0.52444,                0.83458,                0.84866,                0.65304,                0.71702,                0.52539,                0.85993,                 0.4996,                0.84753,               0.001882,               0.001882,               0.001882
                     43,                0.84875,                 0.5157,                0.83462,                0.84493,                0.65422,                 0.7173,                0.52569,                0.85729,                0.49767,                0.84694,               0.001684,               0.001684,               0.001684
                     44,                0.84056,                0.51018,                0.83378,                 0.8536,                0.64826,                0.71634,                0.52553,                 0.8552,                0.49605,                0.84661,               0.001486,               0.001486,               0.001486
                     45,                0.83605,                0.50761,                0.83264,                0.85317,                0.64891,                0.71634,                0.52644,                  0.854,                0.49536,                0.84643,               0.001288,               0.001288,               0.001288
                     46,                0.82733,                0.50109,                0.83195,                0.85198,                0.65022,                0.71636,                0.52621,                0.85321,                0.49461,                0.84613,                0.00109,                0.00109,                0.00109
                     47,                0.82301,                0.49786,                0.83045,                 0.8507,                0.65028,                0.71744,                0.52645,                0.85295,                0.49398,                0.84594,               0.000892,               0.000892,               0.000892
                     48,                0.81437,                0.49359,                0.83001,                0.84705,                0.65067,                 0.7175,                0.52674,                0.85168,                0.49368,                0.84563,               0.000694,               0.000694,               0.000694
                     49,                0.80989,                0.48906,                0.82891,                0.84718,                0.65098,                0.71808,                0.52737,                0.85152,                0.49335,                0.84552,               0.000496,               0.000496,               0.000496
