                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82271,                 3.1169,                 1.0777,                0.25887,                0.45617,                0.23212,                0.18562,                0.74806,                 2.3025,                0.98673,             0.00017454,             0.00017454,             0.00017454
                      2,                0.73913,                 2.2263,                 1.0156,                0.28985,                0.45521,                0.33103,                0.27381,                0.76356,                 1.9842,                0.99199,             0.00034641,             0.00034641,             0.00034641
                      3,                0.74218,                 1.9756,                 1.0116,                0.44604,                0.52032,                0.45007,                0.37137,                0.69498,                 1.7515,                0.94466,             0.00051481,             0.00051481,             0.00051481
                      4,                0.71502,                 1.7408,                0.99594,                0.47608,                0.59472,                0.56629,                  0.468,                0.70778,                 1.4748,                0.95499,             0.00051038,             0.00051038,             0.00051038
                      5,                0.69913,                 1.5277,                0.98274,                0.58541,                0.62848,                0.63106,                0.52986,                0.70483,                 1.3131,                0.95289,             0.00051038,             0.00051038,             0.00051038
                      6,                0.68352,                 1.4393,                0.97495,                0.72144,                0.62219,                0.71185,                0.61016,                0.66429,                 1.0288,                 0.9198,             0.00050517,             0.00050517,             0.00050517
                      7,                0.66172,                 1.2903,                0.97243,                0.67386,                0.69045,                0.72151,                0.60915,                0.67154,                0.93581,                0.92381,             0.00049996,             0.00049996,             0.00049996
                      8,                0.66247,                 1.2116,                 0.9645,                0.78681,                0.69684,                0.77775,                0.66331,                0.64317,                0.82502,                0.90617,             0.00049476,             0.00049476,             0.00049476
                      9,                0.64414,                 1.1553,                0.95952,                0.83486,                0.73452,                0.80982,                0.68343,                0.65048,                0.72928,                0.92026,             0.00048955,             0.00048955,             0.00048955
                     10,                0.63148,                 1.0886,                0.95712,                0.88231,                 0.7266,                0.82324,                0.70308,                 0.6364,                 0.7232,                 0.9127,             0.00048434,             0.00048434,             0.00048434
                     11,                 0.6315,                 1.0466,                0.95748,                0.82785,                0.74157,                0.81511,                0.69843,                0.64148,                0.72627,                0.90779,             0.00047913,             0.00047913,             0.00047913
                     12,                  0.629,                0.99324,                0.95134,                0.86828,                0.75202,                0.82565,                0.70974,                0.61344,                0.67935,                0.89945,             0.00047393,             0.00047393,             0.00047393
                     13,                  0.632,                0.95289,                0.95612,                0.90884,                0.78118,                  0.856,                0.73412,                0.62121,                0.59437,                0.90262,             0.00046872,             0.00046872,             0.00046872
                     14,                0.62621,                0.95016,                0.95777,                0.88908,                0.78906,                0.86434,                0.73744,                0.62696,                0.57972,                0.90115,             0.00046351,             0.00046351,             0.00046351
